경찰서명,년월일,신고수,유동인구수01_06시간대,유동인구수07_12시간대,유동인구수13_18시간대,유동인구수19_00시간대,연령대유동인구수_10대,연령대유동인구수_20대,연령대유동인구수_30대,연령대유동인구수_40대,연령대유동인구수_50대,연령대유동인구수_60대,연령대유동인구수_70대이상
서울강서경찰서,20190505,362,171129.66,526092.74,853305.63,546937.9,162341.44,291678.3,432268.8,432073.23,384216.11,277806.91,117264.27
서울강서경찰서,20190504,404,229125.59,665184.16,919769.97,568248.67,160096.59,318991.64,484900.94,502948.21,455566.2,327787.49,132203.45
서울강서경찰서,20190503,377,224746.14,814865.43,923583.96,675856.1,146701.86,332855.59,531897.49,584958.3,530530.92,368767.72,143492.84
서울강서경찰서,20190502,377,213275.04,818932.81,851683.18,599105.93,119357.6,310070.11,501151.78,553567.52,503395.98,353921.56,141696.03
서울강서경찰서,20190501,402,224852.68,664671.21,882009.19,529995.16,153361.08,285310.77,469774.76,489376.06,448465,324729.84,130684.41
서울강서경찰서,20190430,381,214539.14,810765.33,842647.75,592483.98,110017.23,300656.08,498367.32,553409.72,504701.22,353510.16,139931.84
서울강서경찰서,20190429,331,217936.6,808970.28,818395.64,571371.21,113971.35,299433.4,490297.86,539835.06,491155.08,346184.69,135960.81
서울강서경찰서,20190428,404,188067.94,521342.52,824244.76,489768.92,118938.34,286310.56,426915.85,406807.93,385317.41,284280.12,115028.35
서울강서경찰서,20190427,385,232092.15,695994.6,948554.21,584468.04,132792.62,335264.44,518849.49,510713.06,478225.55,348805.68,136618.2
서울강서경찰서,20190426,361,219471.04,813441.22,875329.88,647208.11,120911.49,326505.82,529479.99,575586.35,517553.95,352672.81,132893.65
서울강서경찰서,20190425,361,228030.59,808411.16,848575.84,595553.23,109059.43,306307.41,511286.29,560576.72,508546.09,350910.84,134045.14
서울강서경찰서,20190424,359,211102.69,807120.04,849520.05,603433.75,113632.72,301896.63,508261.74,557152.43,502712.37,350202.92,137480.45
서울강서경찰서,20190423,389,216659.62,810707.63,831737.14,582931.03,101658.24,294380.6,497927.02,551479.85,506169.35,353322.95,137261.49
서울강서경찰서,20190422,363,210675.46,820144.62,830945.96,578062.79,104758.89,298208.74,495232.49,545060.76,501572.64,353601.45,141553.81
서울강서경찰서,20190421,368,180308.44,492452.16,783956.88,484118.78,108940.3,263377.29,409251.96,391912.4,375178.24,280635.61,111717.08
서울강서경찰서,20190420,444,230732.6,657172.78,900351.5,554329.48,120830.48,307317.51,493867.3,488790.72,464399.91,336338.42,131210.95
서울강서경찰서,20190419,440,228687,792005.61,877944.94,652005.1,115511.14,313719.56,523473.96,570889.16,522318.95,365109.46,139780.33
서울강서경찰서,20190418,320,231907.24,815114.49,835117.02,599785.48,107188.11,304233.82,506301.69,558836.06,509069.6,356307.48,140154.89
서울강서경찰서,20190417,382,237518.04,838678.33,891844.72,637616.31,124427.55,311397.92,525204.79,586807.15,532467.49,375678.28,149840.64
서울강서경찰서,20190416,371,234917.59,836339.66,862951.51,612756.26,110959.64,308796.59,514389.62,574318.2,523099.22,368453.92,147113.71
서울강서경찰서,20190415,328,227683.77,827416.49,846654.76,593085.76,113522.42,308233.35,503772.85,554015.67,507363.19,362786.2,145310.45
서울강서경찰서,20190414,298,191786.81,483161.98,741341.44,479545.29,117941.03,273166.97,395116.99,377607.67,363960.57,263515.77,104709.21
서울강서경찰서,20190413,454,244303.26,696142.95,986840.88,610137.93,142583.91,331657.47,528086.47,531348.78,500609.68,360903.61,142397.51
서울강서경찰서,20190412,352,238315.43,799893.69,899674.23,671634.24,134043.18,324034.2,526118.58,577711.83,530573.13,371662.47,145541.52
서울강서경찰서,20190411,326,237152.97,815883.22,862434.7,624450.94,115595.53,313267.59,515182.54,565222.29,518382.43,366141.6,146298.12
서울강서경찰서,20190410,321,226281.04,809970.23,815103.25,601015.84,126349.09,304239.92,496978.97,550790.13,496717.03,344747.03,132719.51
서울강서경찰서,20190409,286,224470.47,807321.63,825823.71,594675.35,110700.43,299852.18,495303.83,553172.71,503260.61,352756.35,137419.93
서울강서경찰서,20190408,364,219801.51,813830.41,836766.59,589975.26,118519.55,307193.62,496885.7,544702.74,499132.51,352425.14,141673.92
서울강서경찰서,20190407,324,191863.46,532565.65,898897.5,517936.3,140293.24,293795.15,442406.01,436197.28,408122.81,297804.49,122830.15
서울강서경찰서,20190406,413,236339.23,676232.13,909598.23,550795.07,140704.88,317968.27,494964.6,498820.11,462792.65,329144.35,128723.52
서울강서경찰서,20190405,354,231958.03,819273.62,915597.11,675013.48,140543.36,330370.16,535900.93,589703.29,534489.51,368499.14,142501.73
서울강서경찰서,20190404,324,232870.74,815767.78,852136.46,621157.25,114643.36,309942.3,510074.63,567412.35,516713.29,359568.93,143738.8
서울강서경찰서,20190403,393,216983.95,762371.22,782675.77,561792.62,112697.77,276979.64,467550.48,522249.12,476793.58,335085.61,132634.9
서울강서경찰서,20190402,366,210716.74,749017.99,778340.74,559133.11,104294.87,272441.64,463645.76,516699.02,475295.59,332643.22,132344.86
서울강서경찰서,20190401,336,205970.01,746120.2,755919.25,539542.29,101087.41,271746.64,456476.4,503160.48,461725.12,323871.19,129667.85
서울강서경찰서,20190331,307,159524.06,580360.17,888815.12,419883.58,117550.45,282318.5,429570.19,405544.87,395794.38,302878.85,115030.02
서울강서경찰서,20190330,375,210119.36,748486.72,979212.19,514694.48,125649.43,326389.53,517182.85,504444.96,486620.05,362711.15,129619.81
서울강서경찰서,20190329,366,241161.84,864114.85,881313.88,599796.24,97415.68,335035.57,541995.46,576471.82,526133.35,375397,134039.1
서울강서경찰서,20190328,324,236759.03,870453.65,914727.98,480143.63,86263.51,314622.26,519055.85,560722.66,515073.57,370475.63,135976.32
서울강서경찰서,20190327,328,231300.18,854945.26,932251.53,524648.62,94278.53,317982.66,525307.38,568664.26,524991.8,376178.31,135837.91
서울강서경찰서,20190326,325,246625.65,887459.94,864825.92,555023.24,90313.92,320668.61,528620.88,568013.67,526501.95,379030.19,140879.62
서울강서경찰서,20190325,295,244124.64,874560.83,909469.62,503843.42,94759.83,318344.95,523974.49,558797.75,520392.47,373739.34,142081.34
서울강서경찰서,20190324,296,159552.77,582922.64,885049.83,420760.55,119308.61,280615.59,431438.4,405698.41,395819.06,302362.67,113153.05
서울강서경찰서,20190323,378,211044.83,764045.12,933512.32,511218.15,124426.23,323333.91,507368.14,498398.44,482886.1,356262.68,127251.17
서울강서경찰서,20190322,366,246039.39,870139.86,921092.31,597268.8,102409.85,339564.96,549215.79,583748.85,535579.2,385063.74,139056.25
서울강서경찰서,20190321,337,237783.55,874753.82,923436.19,514455.83,87147.88,321761.82,530811.4,571224.35,524219.9,376746.08,138622.18
서울강서경찰서,20190320,454,227205.92,845077.85,923101.45,518788.8,97251.18,312997.49,516013.47,559710.38,522540.81,371864.61,133904.08
서울강서경찰서,20190319,393,240862.22,856072.55,915487.72,524453.26,87327.19,318026.48,521971.98,563224.69,521568.32,380411.5,144449.49
서울강서경찰서,20190318,346,244099.15,864746.22,911240.81,498260.83,86575.49,321287.86,522784.67,557961.27,516284.39,374757.75,138789.02
서울강서경찰서,20190317,291,159501.85,577793.06,892565.19,418998.85,115792.25,284021.4,427702.02,405391.35,395769.72,303395.01,116906.95
