"자치구","안심 주소","위도","경도","CCTV 수량","수정 일시"
"강서구","A1014_공항동 663 - 카메라 1","37.5576","126.8148","1","2022-12-01"
"강서구","A1019_등촌1동 643-70","37.5537","126.8491","1","2022-12-01"
"강서구","A1019_등촌1동 643-70 - 카메라 1","37.5547","126.8598","1","2022-12-01"
"강서구","A1024_등촌2동 365-21 - 카메라 1","37.5508","126.8608","1","2022-12-01"
"강서구","A1029_(스쿨존)등명초교 - 카메라 1","37.5609","126.8417","1","2022-12-01"
"강서구","A1031_등촌3동 704-1 등원초등학교 - 카메라 1","37.5603","126.8503","3","2022-12-01"
"강서구","A1032_(스쿨존)유석초 - 카메라 1","37.5607","126.8543","2","2022-12-01"
"강서구","A1034_(스쿨존)수명초교(1/18~) - 카메라 1","37.5527","126.8231","1","2022-12-01"
"강서구","A1046_발산2동 673 - 카메라 1","37.5543","126.8419","1","2022-12-01"
"강서구","A1065_(스쿨존)정곡초교 - 카메라 1","37.5766","126.8183","1","2022-12-01"
"강서구","A1078_화곡2동 452-33 - 카메라 1","37.5344","126.8523","1","2022-12-01"
"강서구","A1080_(유통)화곡2동 854-1 - 카메라 1","37.5294","126.8552","1","2022-12-01"
"강서구","A1081_화곡2동 867-1 - 카메라 1","37.5347","126.8557","1","2022-12-01"
"강서구","A1083_화곡2동 869-42 신정초등학교 - 카메라 1","37.5334","126.8519","1","2022-12-01"
"강서구","A1086_(유통)화곡2동 885-6 - 카메라 1","37.5292","126.8532","1","2022-12-01"
"강서구","A1086_화곡2동885(보조1) - 카메라 1","37.5292","126.8532","1","2022-12-01"
"강서구","A1098_화곡4동 469-1 - 카메라 1","37.5361","126.8557","1","2022-12-01"
"강서구","A1099_화곡4동 504-51 - 카메라 1","37.5362","126.8608","1","2022-12-01"
"강서구","A1101_화곡4동 794-27 - 카메라 1","37.5312","126.8603","1","2022-12-01"
"강서구","A1102_화곡4동 824-13 - 카메라 1","37.5346","126.8580","1","2022-12-01"
"강서구","A1112_우장산동 84-19","37.5467","126.8438","1","2022-12-01"
"강서구","A1113_우장산동 95-53","37.5458","126.8445","2","2022-12-01"
"강서구","A1115_화곡6동 1102-23 - 카메라 1","37.5537","126.8491","1","2022-12-01"
"강서구","A1131_화곡8동 410-199 - 카메라 1","37.5377","126.8487","1","2022-12-01"
"강서구","A1148_화곡본동 61-97 - 카메라 1","37.5417","126.8469","1","2022-12-01"
"강서구","A2007_(도로방범)송정초교 - 카메라 1","37.5628","126.8104","1","2022-12-01"
"강서구","A2008_공항동 60-38 - 카메라 1","37.5585","126.8098","1","2022-12-01"
"강서구","A2038_화곡1동 362-102(보조1) - 카메라 1","37.5337","126.8399","1","2022-12-01"
"강서구","A2038_화곡1동 362-21(보조1) - 카메라 1","37.5337","126.8399","1","2022-12-01"
"강서구","A3003_화곡2동 865-2","37.5331","126.8565","1","2022-12-01"
"강서구","A3022_화곡본동 410-206 - 카메라 1","37.5385","126.8493","1","2022-12-01"
"강서구","A3038_화곡1동 350-28(보조1)","37.5338","126.8443","1","2022-12-01"
"강서구","A5027_(공원)궁산공원 입구","37.5725","126.8389","1","2022-12-01"
"강서구","A5032_(공원)_봉제산공원 뒤쪽 화장실 - 카메라 1","37.5420","126.8553","1","2022-12-01"
"강서구","A5032_(공원)_봉제산공원 뒤쪽 화장실 - 카메라 1","37.5421","126.8545","1","2022-12-01"
"강서구","A6015_화곡3동 1091-8(윤서유치원) - 카메라 1","37.5420","126.8330","1","2022-12-01"
"강서구","A6015_화곡3동 1091-8(윤서유치원) - 카메라 1","37.5446","126.8318","1","2022-12-01"
"강서구","A6016_화곡3동 1091-8 (윤서유치원-보조) - 카메라 1","37.5420","126.8330","1","2022-12-01"
"강서구","A6025_화곡본동 105-194 (선미유치원-보조1) - 카메라 1","37.5397","126.8439","1","2022-12-01"
"강서구","A6028_등촌2동 533-39 (미도유치원) - 카메라 1","37.5505","126.8609","1","2022-12-01"
"강서구","A6029_등촌2동 533-39 (미도유치원-보조) - 카메라 1","37.5505","126.8609","1","2022-12-01"
"강서구","A6031_화곡6동 1131 (등서초교-보조) - 카메라 1","37.5522","126.8541","1","2022-12-01"
"강서구","A6036_화곡6동 981-5 (동그라미어린이집-보조) - 카메라 1","37.5499","126.8488","1","2022-12-01"
"강서구","A6054_옹기골근린공원2","37.5740","126.8207","1","2022-12-01"
"강서구","A7002_화곡1동 343-41 - 카메라 1","37.5307","126.8460","1","2022-12-01"
"강서구","A7017_화곡1동 350-28 (A3038의 보조) - 카메라 1","37.5337","126.8443","1","2022-12-01"
"강서구","A7018_화곡1동 351-25(A3040의 보조) - 카메라 1","37.5346","126.8430","1","2022-12-01"
"강서구","A8021_화곡6동 1119-11 보조 (공항대로46길73) - 카메라 1","37.5529","126.8514","1","2022-12-01"
"강서구","A8034_방화1동 272-57 (구449-5) - 카메라 1","37.5718","126.8178","1","2022-12-01"
"강서구","A8044_화곡본동 98-89 (보조) (까치산로4길31) - 카메라 1","37.5414","126.8449","1","2022-12-01"
"강서구","A8048_발산1동 695-1 (보조) (강서로47마길 37-4) - 카메라 1","37.5515","126.8318","1","2022-12-01"
"강서구","A8049_방화3동 330-15 (보조) (금낭화로24나길 1) - 카메라 1","37.5784","126.8159","1","2022-12-01"
"강서구","B1008_등촌동 82-1_유석초등학교 - 카메라 1","37.5612","126.8532","1","2022-12-01"
"강서구","B1008_유석초등학교","37.5612","126.8532","1","2022-12-01"
"강서구","B1009_보라유치원","37.5633","126.8466","1","2022-12-01"
"강서구","B1009_보라유치원 - 카메라 1","37.5633","126.8466","1","2022-12-01"
"강서구","C111001(A1002)_가양1동 239-1","37.5720","126.8396","2","2022-12-01"
"강서구","C111001(A1002)_가양1동 239-1(보조1) (7시 홍림아트빌라)","37.5720","126.8396","1","2022-12-01"
"강서구","C111002_가양1동 251-6","37.5712","126.8400","2","2022-12-01"
"강서구","C111002_가양1동 251-6 (보조1) (10시 홍림아트빌)","37.5712","126.8400","1","2022-12-01"
"강서구","C111003_가양1동 146-47","37.5693","126.8427","3","2022-12-01"
"강서구","C111003_가양1동 146-47(보조1) (4시 제일제당)","37.5693","126.8427","1","2022-12-01"
"강서구","C111004_가양1동 151-11 상아맨션2차 주변 (강서로76길7)","37.5693","126.8422","2","2022-12-01"
"강서구","C111005_가양1동 1459 동신대아아파트 상가앞 (강서로532)","37.5726","126.8427","2","2022-12-01"
"강서구","C111006_가양1동 1459 동신대아강파트 102동 뒤 산책로 (서로532)(보조1) (4시)","37.5734","126.8444","1","2022-12-01"
"강서구","C111006_가양1동 1459 동신대아파트 102동 뒤 산책로 (강서로532)","37.5734","126.8444","2","2022-12-01"
"강서구","C111007_가양1동 1460 한강타운아파트 111동 앞 산책로 (허준로23)","37.5720","126.8464","2","2022-12-01"
"강서구","C111008_가양1동 246-1","37.5717","126.8389","1","2022-12-01"
"강서구","C111008_가양1동 246-1 - 카메라 1","37.5717","126.8389","1","2022-12-01"
"강서구","C111008_가양1동 246-1(보조1) (8시 스카이국제화물)","37.5717","126.8389","1","2022-12-01"
"강서구","C111009_가양동 30-10 - 카메라 1","37.5672","126.8474","1","2022-12-01"
"강서구","C111009_가양동 30-10(분기-고정1) (8시 양천로연결)","37.5668","126.8464","1","2022-12-01"
"강서구","C111010_가양동 146-58(고정1) (4시)","37.5692","126.8428","1","2022-12-01"
"강서구","C111010_가양동 146-58(고정1) (4시)","37.5692","126.8429","1","2022-12-01"
"강서구","C111011_가양1동 130-3","37.5672","126.8424","2","2022-12-01"
"강서구","C111011_가양1동 130-3(보조1) (7시 대륭사우나)","37.5672","126.8424","1","2022-12-01"
"강서구","C111011_가양1동 130-3(보조2) (1시 양천로큰길)","37.5672","126.8424","1","2022-12-01"
"강서구","C111012_가양1동 231-18","37.5720","126.8403","1","2022-12-01"
"강서구","C111013_가양1동 146-22(고정1) (7시 양천향교역)","37.5684","126.8430","1","2022-12-01"
"강서구","C111013_가양1동 146-22(고정2) (1시 월드메르디앙아파트)","37.5684","126.8430","1","2022-12-01"
"강서구","C111013_가양1동 146-22(고정3) (10시 휴먼빌아파트)","37.5684","126.8430","1","2022-12-01"
"강서구","C111014_가양1동 249-7(고정1)","37.5711","126.8406","1","2022-12-01"
"강서구","C111015_가양1동(마곡동) 7-4(고정1) (12시)","37.5735","126.8376","1","2022-12-01"
"강서구","C111015_가양1동(마곡동) 7-4(고정2) (9시)","37.5735","126.8376","1","2022-12-01"
"강서구","C111015_가양1동(마곡동) 7-4(고정3) (6시)","37.5735","126.8376","1","2022-12-01"
"강서구","C111016_가양1동 251-5(고정1) (3시)","37.5709","126.8402","1","2022-12-01"
"강서구","C111016_가양1동 251-5(고정2) (6시)","37.5709","126.8402","1","2022-12-01"
"강서구","C111017_가양1동 231-9(고정1) (12시 1시 사이)","37.5715","126.8406","1","2022-12-01"
"강서구","C111018 양천향교역 6번출구 고정1","37.5678","126.8415","1","2022-12-01"
"강서구","C111018 양천향교역 6번출구 고정2","37.5678","126.8415","1","2022-12-01"
"강서구","C111019 가양동 1485-5 고정1 (11시)","37.5634","126.8613","1","2022-12-01"
"강서구","C111019 가양동 1485-5 고정2 (7시)","37.5634","126.8613","1","2022-12-01"
"강서구","C111019 가양동 1485-5 고정3 (5시)","37.5634","126.8613","1","2022-12-01"
"강서구","C111020 가양동 1482 고정1 (5시)","37.5625","126.8583","1","2022-12-01"
"강서구","C111020 가양동 1482 고정2 (1시)","37.5625","126.8583","1","2022-12-01"
"강서구","C111020 가양동 1482 고정3 (10시)","37.5625","126.8583","1","2022-12-01"
"강서구","C111021 증미역 연결통로 고정1 (1시)","37.5592","126.8616","1","2022-12-01"
"강서구","C111021 증미역 연결통로 고정2 (7시)","37.5592","126.8616","1","2022-12-01"
"강서구","C111022 가양동 1485-5 고정1","37.5621","126.8636","1","2022-12-01"
"강서구","C111022 가양동 1485-5 고정2","37.5621","126.8636","1","2022-12-01"
"강서구","C111023_가양동 1458-14_PTZ","37.5699","126.8452","1","2022-12-01"
"강서구","C111023_가양동 1458-14_보조1 (4시)","37.5699","126.8452","1","2022-12-01"
"강서구","C111023_가양동 1458-14_보조2 (10시)","37.5699","126.8452","1","2022-12-01"
"강서구","C111024_마곡동 329-7_PTZ","37.5704","126.8236","1","2022-12-01"
"강서구","C111024_마곡동 329-7_보조1 (11시)","37.5704","126.8236","1","2022-12-01"
"강서구","C111024_마곡동 329-7_보조2","37.5704","126.8236","1","2022-12-01"
"강서구","C111024_마곡동 329-7_보조3 (7시)","37.5704","126.8236","1","2022-12-01"
"강서구","C111025_가양1동 273-4","37.5708","126.8392","1","2022-12-01"
"강서구","C111025_가양1동 273-4_(고정1) (1시)","37.5708","126.8392","1","2022-12-01"
"강서구","C111025_가양1동 273-4_(고정2) (9시)","37.5708","126.8392","1","2022-12-01"
"강서구","C121001_가양2동 1481 가양5단지 501동 앞(고정1) (1시 대림경동아파트)","37.5646","126.8533","1","2022-12-01"
"강서구","C121001_가양2동 1481 가양5단지 501동 앞(고정2) (7시 가양역1번출구)","37.5646","126.8533","1","2022-12-01"
"강서구","C121002_가양2동 1480-4(고정1) (1시 가양5단지아파트 515동)","37.5627","126.8533","1","2022-12-01"
"강서구","C121002_가양2동 1480-4(고정2) (10시 영보빌딩)","37.5627","126.8533","1","2022-12-01"
"강서구","C121002_가양2동 1480-4(고정3) (7시 가양역)","37.5627","126.8533","1","2022-12-01"
"강서구","C121003_가양2동 1470(고정1) (5시 대림경동아파트)","37.5689","126.8518","1","2022-12-01"
"강서구","C121003_가양2동 1470(고정2) (7시 허준박물관)","37.5688","126.8518","1","2022-12-01"
"강서구","C121003_가양2동 1470(고정3) (10시 영등포공업고등학교)","37.5688","126.8518","1","2022-12-01"
"강서구","C121004_가양2동 1479(고정1) (5시 KB국민은행)","37.5640","126.8510","1","2022-12-01"
"강서구","C121004_가양2동 1479(고정2) (12시 분기-고정방향)","37.5640","126.8510","1","2022-12-01"
"강서구","C121004_가양2동 1479(분기-고정1) (5시 시드프라자)","37.5643","126.8511","1","2022-12-01"
"강서구","C131001_가양동 1484 가양초등학교(가양프라자 건너편)","37.5612","126.8597","1","2022-12-01"
"강서구","C131001_가양동 1484(고정1) 가양초등학교(1시 가양프라자 건너편)","37.5612","126.8597","1","2022-12-01"
"강서구","C131001_가양동 1484(고정1) 가양초등학교(가양프라자 건너편)","37.5612","126.8597","1","2022-12-01"
"강서구","C131002_가양3동 1482(가양역4번출구)(고정1) (7시 가양역4번출구)","37.5618","126.8558","1","2022-12-01"
"강서구","C131002_가양3동 1482(가양역4번출구)(고정2) (4시 경서중학교)","37.5618","126.8558","1","2022-12-01"
"강서구","C131002_가양3동 1482(가양역4번출구)(고정3) (1시 올림픽대로)","37.5618","126.8558","1","2022-12-01"
"강서구","C131004_가양3동 1488-10(고정1) (10시 강서구청 가양동별관)","37.5605","126.8605","1","2022-12-01"
"강서구","C131004_가양3동 1488-10(고정2) (1시 가양7단지 102동)","37.5605","126.8605","1","2022-12-01"
"강서구","C131005_가양3동 1492-1(고정1) (5시)","37.5598","126.8640","1","2022-12-01"
