영업상태명,소재지면적,소재지우편번호,지번주소,사업장명,좌표정보(X),좌표정보(Y),행정동
영업/정상,3.3,157881,서울특별시 강서구 화곡동 348-23 외 1필지 (지상 1층) ,GS25 화곡까치산점,186165.9367,447830.7524,화곡동
영업/정상,3.3,157-210,서울특별시 강서구 마곡동 793-8 마곡하이마루 (지상 1층) 107호,마곡호서대기숙사점,185676.8611,451014.642,마곡동
영업/정상,3.3,157836,서울특별시 강서구 등촌동 532-1번지 (지상 1층) ,지에스25등촌한마음점,187770.7424,449801.9101,등촌동
영업/정상,3.3,157851,서울특별시 강서구 방화동 600-2번지 진성빌딩 (지상 1층) ,지에스25방화초원로점,183162.0917,451755.4867,방화동
영업/정상,3.3,157210,서울특별시 강서구 마곡동 784-11 외 1필지 마곡오드카운티1차 (지상 1층) 122호,지에스25마곡오드점,185761.0,451315.0,마곡동
영업/정상,3.3,157-910,서울특별시 강서구 화곡동 928-35 (지상 1층),지에스25화곡달빛,185823.168,447401.8205,화곡동
영업/정상,3.3,157895,서울특별시 강서구 화곡동 53-14 1층 ,지에스25 화곡초교점,186440.9675,448937.6795,화곡동
영업/정상,3.3,157856,서울특별시 강서구 방화동 814-0번지 방화5단지아파트 (지상 1층) 상가1동 104호,지에스25방화5단지점,183169.0826,452783.1582,방화동
영업/정상,3.3,157916,서울특별시 강서구 화곡동 1098-9번지 대륙빌딩 (지상 1층) ,지에스25화곡으뜸점,186674.0026,450124.3173,화곡동
영업/정상,3.3,157892,서울특별시 강서구 화곡동 451-23번지 (지상 1층) ,세븐일레븐 화곡신정초교점,186823.0298,447913.2423,화곡동
영업/정상,3.3,157930,서울특별시 강서구 등촌동 663-7번지 (지상 1층) ,지에스25 등촌서낭점,186336.1248,450732.0349,등촌동
영업/정상,3.3,157831,서울특별시 강서구 내발산동 697-6번지 (지상 1층) ,이마트24 강서내발산점,185272.5684,449983.7804,내발산동
영업/정상,3.3,157-871,서울특별시 강서구 화곡동 98-150 모현빌딩 (지상 1층),세븐일레븐 화곡까치산로점,186101.2245,448926.9395,화곡동
영업/정상,3.3,157910,서울특별시 강서구 화곡동 926-5번지 한양아이클래스 101호,CU(씨유)뉴화곡우리마을,185958.5489,447412.8929,화곡동
영업/정상,3.3,157840,서울특별시 강서구 등촌동 647-83번지 (지상 1층) ,세븐일레븐 등촌현대점,188035.9528,449946.4353,등촌동
영업/정상,3.3,157-812,서울특별시 강서구 공항동 53-58 (지상 1층),세븐일레븐 송정로점,183157.7469,450892.1015,공항동
영업/정상,3.3,157863,서울특별시 강서구 염창동 272-21번지 대경캐슬 (지상 1층) 101호,GS25염창세빛,188436.9206,449803.9706,염창동
영업/정상,3.3,157210,서울특별시 강서구 마곡동 797-10 엠팰리체 (지상 1층) 110호,CU마곡엠팰리체,185377.0,450842.0,마곡동
영업/정상,3.3,157803,서울특별시 강서구 가양동 276-2 한림빌딩 (지상 1층) 101호,씨유양천향교점,185838.385,452001.5489,가양동
영업/정상,3.3,157-882,서울특별시 강서구 화곡동 353-55 제이케이빌딩 (지상 1층),세븐일레븐 화곡5호점,185998.3685,447836.8261,화곡동
영업/정상,3.3,157849,서울특별시 강서구 방화동 485-3번지 (지상 1층) ,GS25방화가온점,183149.5912,452423.0485,방화동
영업/정상,3.3,157806,서울특별시 강서구 가양동 1461-0번지 가양2단지아파트 (지상 1층) 상가동 106호,지에스25가양2점,186429.3278,452034.2757,가양동
영업/정상,3.3,157867,서울특별시 강서구 화곡동 56-308번지 (지상 1층) ,이마트24 화곡본동점,186642.0112,448801.6397,화곡동
영업/정상,6.6,157930,서울특별시 강서구 등촌동 678-13번지 (지상 1층) ,GS25 강서등촌점,185770.9559,450956.3629,등촌동
영업/정상,9,157927,서울특별시 강서구 화곡동 1093-76 KBS스포츠월드 (지상 1층) ,킹스커머스,186463.8348,450518.1421,화곡동
영업/정상,6.6,157860,서울특별시 강서구 염창동 113-9번지 대운빌딩 (지상 1층) ,지에스25 염창현대점,188944.6126,449963.1536,염창동
영업/정상,6.6,157928,서울특별시 강서구 화곡동 1114-0번지 (지상 1층) ,GS25강서화곡점,187039.9991,450251.5267,화곡동
영업/정상,6.6,157835,서울특별시 강서구 내발산동 723-9 세란빌딩 (지상 1층),씨유 우장산역점,185440.4831,449556.0773,내발산동
영업/정상,6.6,157925,서울특별시 강서구 화곡동 1086-3번지 (지상 1층) ,지에스25 강서화곡로점,185445.0178,448533.8821,화곡동
영업/정상,7,157873,서울특별시 강서구 화곡동 1056-0번지 (지상 1층) ,씨유화곡 소비자점,185832.3081,449137.9556,화곡동
영업/정상,7,157930,서울특별시 강서구 등촌동 674-9 (지상 1층) ,씨유 발산센터점,185795.9473,450778.6341,등촌동
영업/정상,7,157866,서울특별시 강서구 화곡동 24-275 예담채 101호,씨유 화곡미라클점,186446.9579,449074.4347,화곡동
영업/정상,5,157864,"서울특별시 강서구 염창동 289번지 신동아아파트 103,4호",GS25 염창신동아점,188359.5655,450325.8385,염창동
영업/정상,4,157910,서울특별시 강서구 화곡동 906-1번지 1층 ,GS25 화곡한나점,186414.0441,447363.3839,화곡동
영업/정상,7,157290,서울특별시 강서구 외발산동 216-18번지 (지상 1층) ,이마트24 발산현대점,184401.0014,449434.3666,외발산동
영업/정상,5,157210,서울특별시 강서구 마곡동 750 마곡엠밸리14단지 1층 상가동 107호,지에스25뉴마곡14단지점,184612.189569,450961.510923,마곡동
영업/정상,5,157937,서울특별시 강서구 내발산동 753-0번지 마곡수명산파크4단지아파트 상가동 101~102호,지에스25 수명산4단지점,184320.6579,449900.2514,내발산동
영업/정상,3.3,157842,서울특별시 강서구 등촌동 656-0번지 경동미르웰한올림 (지상 1층) 101동 103호,지에스25 등촌한올림점,186992.1353,450564.4014,등촌동
영업/정상,6.6,157925,서울특별시 강서구 화곡동 1081-39 1층 ,씨유 화곡신월초교점,185680.7862,448576.1946,화곡동
영업/정상,3,157210,서울특별시 강서구 마곡동 739-2번지 우성르보아투 (지상 1층) 121호,세븐일레븐 마곡르보아점,183837.0,451687.0,마곡동
영업/정상,4,157-910,서울특별시 강서구 화곡동 918-21 기룡빌딩 1층,씨유 화곡명월점,186173.6815,447571.6493,화곡동
영업/정상,2,157809,서울특별시 강서구 가양동 1482 가양도시개발공사아파트(가양8단지아파트) ,이마트24 뉴가양8단지점,187311.2657,451100.6191,가양동
영업/정상,4,157210,서울특별시 강서구 마곡동 776-4번지 엠코지니어스타 B동 107호,씨유 마곡엠코점,185830.0,451679.0,마곡동
영업/정상,4,157804,서울특별시 강서구 가양동 448-11번지 가양글로벌퍼스트 104동 107호,지에스(GS)25 가양글로벌점,187454.1243,450913.8552,가양동
영업/정상,3.3,157280,서울특별시 강서구 내발산동 756번지 마곡수명산파크7단지아파트 상가동 101호,씨유 수명산7단지점,184263.0463,449557.8774,내발산동
영업/정상,6.6,157772,서울특별시 강서구 등촌동 691-3번지 부영아파트 상가동 109호,지에스25(GS25) 강서부영점,186115.8879,451264.7672,등촌동
영업/정상,3.3,157280,서울특별시 강서구 내발산동 658-0 명성빌딩 (지상 1층) ,씨유 우장산힐스테이트점,185972.6913,450530.5223,내발산동
영업/정상,3.3,157840,서울특별시 강서구 등촌동 639-8 에이스에이존 (지상 1층),씨유 등촌에이스에이존,187220.502,450708.9728,등촌동
영업/정상,6.6,157812,서울특별시 강서구 공항동 60-31번지 ,GS25 강서공항점,183211.7113,450672.554,공항동
영업/정상,9.9,157930,서울특별시 강서구 등촌동 695번지 등촌5단지주공아파트 ,이마트24 등촌5단지점,186223.7934,450919.8257,등촌동
영업/정상,3.3,157030,서울특별시 강서구 등촌동 715 등촌아이파크아파트 (지상 1층) 상가동 105호,GS 25 등촌현대점,187578.179,449082.4341,등촌동
영업/정상,6.6,157-210,서울특별시 강서구 마곡동 808 이화여자대학교 제2부속병원 지하1층,씨유 이대서울병원점,185455.1708,450604.2394,마곡동
영업/정상,6.6,157030,서울특별시 강서구 등촌동 720번지 103호,지에스(GS)25 가양메르디앙점,187282.7452,450848.5249,등촌동
영업/정상,3.3,157829,서울특별시 강서구 내발산동 687-1번지 (지상 1층) ,씨유 발산진흥점,185120.5537,450080.8595,내발산동
영업/정상,3.3,157894,서울특별시 강서구 화곡동 469-30번지 1층 ,씨유 화곡영광점,187205.5079,448236.1086,화곡동
영업/정상,3.3,157-850,서울특별시 강서구 방화동 557-7 남성아트빌(지상 1층) 101동 101호,세븐일레븐 개화산점,183087.8939,452293.6656,방화동
영업/정상,3.3,157851,"서울특별시 강서구 방화동 585-6번지 1층 3,4호",씨유 방화초교점,182957.326,451714.6498,방화동
영업/정상,5.11,157842,서울특별시 강서구 등촌동 654-76번지 1층 ,씨유등촌보람점,187339.5511,450382.1812,등촌동
영업/정상,3.3,157930,서울특별시 강서구 등촌동 705-6번지 등촌주공아파트11단지 1101동 101호,씨유등촌주공점,186598.7304,450774.8887,등촌동
영업/정상,3.3,157865,서울특별시 강서구 염창동 292번지 염창동아아파트(지상 1층) 상가동 ,씨유 염창세계로점,188719.0005,450294.4983,염창동
영업/정상,3.3,157-928,서울특별시 강서구 화곡동 1125 하이웨이주유소(지상 1층),세븐일레븐 강서하이웨이주유소점,187100.7064,450276.5039,화곡동
영업/정상,3.3,157210,서울특별시 강서구 마곡동 716-0번지 한솔솔파크아파트 (지상 1층) 110동 101호,씨유 마곡한솔점,184321.3246,451947.2145,마곡동
영업/정상,3.3,157220,서울특별시 강서구 방화동 883 경남아너스빌 (지상 1층) 상가동 102~103호,씨유 강서도레미점,183908.4535,452235.9074,방화동
영업/정상,3.3,157928,서울특별시 강서구 화곡동 1112-1번지 (지상 1층) ,세븐일레븐 강서중앙점,186894.6291,450219.7704,화곡동
영업/정상,3.3,157849,서울특별시 강서구 방화동 456번지 1층 ,씨유 방화꽃길점,183204.5588,452558.3942,방화동
영업/정상,3.3,157-910,서울특별시 강서구 화곡동 938-2 1층,세븐일레븐 강서사랑점,185791.9391,447519.8749,화곡동
영업/정상,3.3,157838,서울특별시 강서구 등촌동 628-7번지 1층 103호 ,지에스(GS)25 가양테크노점,187142.5202,450809.3662,등촌동
영업/정상,3.3,157894,서울특별시 강서구 화곡동 465-8번지 1층 ,세븐일레븐 화곡메인점,187122.7756,448210.8278,화곡동
영업/정상,3.3,157899,서울특별시 강서구 화곡동 820-17번지 상재아트빌(지상 1층) ,씨유 화곡우리점,187372.5771,448058.8525,화곡동
영업/정상,6.6,157220,서울특별시 강서구 방화동 886번지 김포국제공항 국제선청사 3층 ,(주)이마트24 김포공항,182524.8238,451438.2509,방화동
영업/정상,3.3,157918,서울특별시 강서구 화곡동 1008번지 1층 101-1호,씨유 화곡그랜드점,185210.8676,449521.3548,화곡동
영업/정상,3.3,157846,서울특별시 강서구 방화동 186-3번지 마곡미라클 102동 101호,씨유 마곡미라클점,184015.6387,452005.9032,방화동
영업/정상,3.3,157898,서울특별시 강서구 화곡동 806-5번지 보노하우스 101호,세븐일레븐 화곡보노점,187702.92,447967.4154,화곡동
영업/정상,34.58,157210,서울특별시 강서구 마곡동 760번지 마곡나루역보타닉푸르지오시티(지상 1층) 107호,샐러디 마곡나루역점,184650.0,451667.0,마곡동
영업/정상,3.3,157894,서울특별시 강서구 화곡동 473-7번지 1층 ,GS25 화곡신정점,187286.4417,448329.162,화곡동
영업/정상,3.3,157852,서울특별시 강서구 방화동 608-140번지 1층 ,씨유 방화또오기점,183591.8853,451589.0085,방화동
영업/정상,3.3,157836,서울특별시 강서구 등촌동 524-13번지 그레이트마트 1층 ,씨유 등촌능안점,187634.2389,449311.9992,등촌동
영업/정상,3.3,157280,서울특별시 강서구 내발산동 742번지 마곡수명산파크1단지아파트(지상 1층) 상가2동 102호,씨유마곡1단지점,184927.0267,450247.9818,내발산동
영업/정상,3.3,157897,서울특별시 강서구 화곡동 791-12번지 1층 ,이마트24 화곡수아점,187496.9958,447640.6184,화곡동
영업/정상,3.3,157801,서울특별시 강서구 가양동 56-2번지 강서오토플랙스 자동차매매센터 102호,씨유강서오토플렉스점,186209.9761,451531.6671,가양동
영업/정상,3.3,157900,서울특별시 강서구 화곡동 826-13번지 (지상 1층) ,세븐일레븐 강서화곡신정점,187456.1745,448152.7093,화곡동
영업/정상,3.3,157-210,서울특별시 강서구 마곡동 739-1 마곡더블유타워 1층 123호,지에스25 마곡W타워점,183768.6964,451652.6216,마곡동
영업/정상,3.3,157884,서울특별시 강서구 화곡동 371-7번지 (지상 1층) ,지에스25 화곡그랜드점,185709.6459,448237.0748,화곡동
영업/정상,3.3,157889,서울특별시 강서구 화곡동 410-17번지 (지상 1층) ,세븐일레븐 화곡현대점,186565.1733,448344.1434,화곡동
영업/정상,6.6,157930,서울특별시 강서구 등촌동 688-2 등촌3단지주공아파트 상가동 104호 ,씨유 등촌3단지점,185938.6099,451011.6932,등촌동
영업/정상,3.3,157812,서울특별시 강서구 공항동 53-15번지 1층 일부호 ,씨유 뉴공항1호점,183137.3941,450980.5368,공항동
영업/정상,3.3,157866,서울특별시 강서구 화곡동 24-80번지 움터(지상 1층) ,씨유 강서화곡점,186359.3121,449375.5531,화곡동
영업/정상,3.3,157914,서울특별시 강서구 화곡동 973-1번지 1층 ,씨유 화곡동도점,186486.0414,449624.2528,화곡동
영업/정상,3.3,157872,서울특별시 강서구 화곡동 102-182번지 지층 비01호,세븐일레븐 화곡사랑,186194.4116,448580.2254,화곡동
영업/정상,3.3,157840,서울특별시 강서구 등촌동 639번지 1층 ,세븐일레븐 등촌스타점,187069.8489,450787.4083,등촌동
영업/정상,3.3,157839,서울특별시 강서구 등촌동 631번지 등촌동두산위브센티움(지상 1층) 103호,CU등촌두산점,187682.6904,450578.8928,등촌동
영업/정상,3.3,157903,서울특별시 강서구 화곡동 841-26번지 1층 ,세븐일레븐(화곡곰달래점),187403.5751,447624.7261,화곡동
영업/정상,3.3,157867,서울특별시 강서구 화곡동 56-80번지 1층 ,지에스25 화곡그린힐점,186797.3496,448689.1929,화곡동
영업/정상,3.3,157812,서울특별시 강서구 공항동 34-50번지 한신빌딩(지상 1층) ,CU 송정공항점,183355.0668,450906.91,공항동
영업/정상,3.3,157-210,"서울특별시 강서구 마곡동 801-7 1층 109,110호",씨유 이웰메디파크점,185346.5575,450636.9717,마곡동
영업/정상,3.3,157839,서울특별시 강서구 등촌동 634-13번지 심미에셈빌 ,씨유 등촌심미점,187898.985,450186.5879,등촌동
영업/정상,10,157899,서울특별시 강서구 화곡동 815-29 봉황아파트 1층 101호,이마트24 R강서등촌빌리지점,187559.4006,448236.2392,화곡동
영업/정상,3.3,157930,서울특별시 강서구 등촌동 680-2번지 동우빌딩 1층 ,세븐일레븐 서울호서대점,185791.3956,451169.3603,등촌동
영업/정상,3.3,157853,서울특별시 강서구 방화동 612-275 공항타워펠리스오피스텔 나동 101호,씨유 방화오피스2호점,182933.5159,451251.3463,방화동
영업/정상,3.3,157210,서울특별시 강서구 마곡동 768-2번지 동익드미라벨복합빌딩(지상 1층) 116호,씨유 마곡미라벨점,184386.0,451226.0,마곡동
영업/정상,3.3,157937,서울특별시 강서구 내발산동 750-11번지 신원메디칼프라자 1층 105호,씨유 발산메디컬점,184636.5334,450143.8721,내발산동
영업/정상,6.6,157210,서울특별시 강서구 마곡동 743-4번지 마곡엠밸리7단지 713동 101호,지에스25 마곡7단지점,184368.6867,451726.492157,마곡동
영업/정상,144.78,157210,서울특별시 강서구 마곡동 812번지 서울식물원 식물문화센터 4층 ,서울식물원푸드 이마트24 편의점(스무디킹),185444.0,451896.0,마곡동
영업/정상,3.3,157831,서울특별시 강서구 내발산동 696번지 1층 ,세븐일레븐 내발산점,185139.6551,449946.7617,내발산동
영업/정상,3.3,157-836,서울특별시 강서구 등촌동 518-24 (지상 1층),세븐일레븐 등촌우리점,187456.348,449360.052,등촌동
영업/정상,3.3,157906,서울특별시 강서구 화곡동 878-10 (지상 1층) ,씨유화곡행운점,186727.4463,447552.8167,화곡동
영업/정상,3.3,157863,서울특별시 강서구 염창동 280-1 로보사옥(지상 1층) ,씨유 염창로보점,188628.1314,449570.3737,염창동
영업/정상,3.3,157897,서울특별시 강서구 화곡동 796-1 피앤와이빌딩 ,씨유 화곡천량점,187715.4764,447757.3105,화곡동
영업/정상,3.3,157918,서울특별시 강서구 화곡동 1006-7 1층코너 ,지에스25화곡송화점,185407.2634,449473.1279,화곡동
영업/정상,3.3,157905,서울특별시 강서구 화곡동 862-11 (지상 1층) ,GS25화곡들판점,187187.2724,447710.7261,화곡동
영업/정상,3.3,157200,서울특별시 강서구 가양동 1498 강서한강자이타워 A동 103호,지에스25 강서자이타워점,186501.2332,451485.2519,가양동
영업/정상,6.6,157-210,서울특별시 강서구 마곡동 794-1 우성에스비타워 124호,세븐일레븐 마곡에스비점,185642.6673,450883.0068,마곡동
