영업상태명,소재지면적,소재지우편번호,지번주소,사업장명,좌표정보(X),좌표정보(Y),행정동
영업/정상,3.3,157-210,서울특별시 강서구 마곡동 798-16 M밸리 W TOWER Ⅳ 110호,세븐일레븐 마곡W타워점,184487.6831,450704.46,마곡동
영업/정상,3.3,157889,서울특별시 강서구 화곡동 410-246 1층일부호,씨유 화곡미래점,186729.6094,448398.615,화곡동
영업/정상,3.3,157881,서울특별시 강서구 화곡동 348-9 영상빌딩 1층 ,씨유 까치산역점,186288.2619,447872.9223,화곡동
영업/정상,3.3,157-210,서울특별시 강서구 마곡동 725-1 마곡힐스테이트 1층 상가동 102호,세븐일레븐 마곡힐스점,183835.8881,451321.4264,마곡동
영업/정상,3.3,157851,서울특별시 강서구 방화동 598-106 1층,씨유 방화제일점,183283.5575,451719.3538,방화동
영업/정상,3.3,157030,서울특별시 강서구 등촌동 10-14 1층,지에스25 가양데시앙점,186483.2045,451389.0936,등촌동
영업/정상,10,157924,서울특별시 강서구 화곡동 1068 1층,세븐일레븐 화곡수명점,185282.383,448711.0326,화곡동
영업/정상,7,157867,서울특별시 강서구 화곡동 56-501 영어나라어린이집 1층,지에스25 화곡우장점,186687.401,448615.5196,화곡동
영업/정상,10,157800,서울특별시 강서구 가양동 14-61 가양역,지에스(GS)25 S9 가양역점,187030.5405,451063.5129,가양동
영업/정상,7,157220,서울특별시 강서구 방화동 898 경동팰리스힐 1층 102~104호,이마트24 R강서방화점,183102.2381,452126.8274,방화동
영업/정상,7,157867,서울특별시 강서구 화곡동 56-252 우성트윈캐슬아파트 1층 101호,씨유 화곡트윈캐슬점,186728.272,448837.1225,화곡동
영업/정상,7,157860,서울특별시 강서구 염창동 95 2층,이마트24 강서나눔점,188816.6722,450007.2726,염창동
영업/정상,3.3,157872,서울특별시 강서구 화곡동 102-348 더숨 포레스트 1층,씨유 화곡더숨점,186237.4706,448455.2272,화곡동
영업/정상,7,157818,서울특별시 강서구 공항동 654 1층,GS25 공항제일점,183453.5096,450691.8307,공항동
영업/정상,7,157835,서울특별시 강서구 내발산동 718-20 102동 제지1층 제비02호,GS25 뉴내발산점,185393.6497,449843.0861,내발산동
영업/정상,7,157-807,서울특별시 강서구 가양동 1472 장애인자립장및 보훈회관 1층,지에스 구립강서,186837.3601,451692.3966,가양동
영업/정상,3.3,157862,"서울특별시 강서구 염창동 261-4 1층 101,110호",씨유 염창트리타워점,189124.4412,449608.3003,염창동
영업/정상,7,157930,서울특별시 강서구 등촌동 666-94 등촌역9호선,지에스(GS)25 S9등촌역점,187985.0521,449887.1625,등촌동
영업/정상,3.3,157889,서울특별시 강서구 화곡동 409-203 1층,지에스25 화곡개나리점,186513.0056,448295.6514,화곡동
영업/정상,3.3,157882,서울특별시 강서구 화곡동 352-5 1층,지에스25 화곡화원점,185908.2495,448162.1623,화곡동
영업/정상,3.3,157-873,서울특별시 강서구 화곡동 1059-28 1층,세븐일레븐 화곡우장산숲점,185985.266,449125.4869,화곡동
영업/정상,3.3,157927,서울특별시 강서구 화곡동 1093-76 KBS스포츠월드,씨유 KBS스포츠월드점,186463.8348,450518.1421,화곡동
영업/정상,7,157-875,서울특별시 강서구 화곡동 152-6 1층,씨유 강서사랑점,186672.6071,448336.3208,화곡동
영업/정상,3.3,157812,서울특별시 강서구 공항동 62-4,이마트24 R공항대로점,183017.6815,450710.5273,공항동
영업/정상,3.3,157862,서울특별시 강서구 염창동 264-13 한영빌딩,씨유 염창태진점,188731.0328,449747.0218,염창동
영업/정상,3.3,157847,서울특별시 강서구 방화동 579 마곡 한진해모로 109동 103호,세븐일레븐 방화방신시장점,183442.7587,452155.803,방화동
영업/정상,3.3,157210,서울특별시 강서구 마곡동 795-1 필네이처,씨유 마곡필굿점,185525.0,450963.0,마곡동
영업/정상,7,157806,"서울특별시 강서구 가양동 1459 동신아파트,대아아파트 상가동 108호",이마트24 동신한강타운점,186092.3564,452221.0086,가양동
영업/정상,3.3,157863,서울특별시 강서구 염창동 265-3 왈도강서캠퍼스,이마트24 왈도강서캠퍼스점,188450.674,449991.9604,염창동
영업/정상,3.3,157-866,서울특별시 강서구 화곡동 24-39 자하클래식 101호,세븐일레븐 화곡자하클래식점,186392.8333,449547.5223,화곡동
영업/정상,3.3,157839,서울특별시 강서구 등촌동 631-5 103호,씨유 NH서울타워점,187727.7587,450500.1265,등촌동
영업/정상,3.3,157280,서울특별시 강서구 내발산동 702-4 L01호 일부 01호,지에스25 우장산스카이점,185497.0602,449986.8357,내발산동
영업/정상,3.3,157863,서울특별시 강서구 염창동 271-13 풍일빌딩 1층,세븐일레븐 염창래미안점,188258.3729,449993.3004,염창동
영업/정상,3.3,157883,서울특별시 강서구 화곡동 357-19,지에스25 화곡풍년점,185752.9294,447570.2392,화곡동
영업/정상,3.3,157818,서울특별시 강서구 공항동 683-1,씨유 공항타운점,183438.3603,450423.1944,공항동
영업/정상,3.3,157210,서울특별시 강서구 마곡동 774-9 사이언스타 118호,씨유 마곡사이언스타점,185095.247,450885.0584,마곡동
영업/정상,3.3,157-836,서울특별시 강서구 등촌동 507-1 107호,세븐일레븐 강서등촌역점,187863.8945,449788.0367,등촌동
영업/정상,3.3,157-886,서울특별시 강서구 화곡동 398-19 수정빌딩,씨유 화곡수정점,186476.7649,448046.5444,화곡동
영업/정상,3.3,157-816,서울특별시 강서구 공항동 1349,GS공항소담점,183894.3887,450447.2941,공항동
영업/정상,3.3,157-840,서울특별시 강서구 등촌동 648-10,씨유 등촌디앤써밋점,187951.7783,449928.9223,등촌동
영업/정상,3.3,157-210,서울특별시 강서구 마곡동 429 마곡벽산아파트,세븐일레븐 마곡벽산점,185605.3533,452617.0404,마곡동
영업/정상,3.3,157-925,서울특별시 강서구 화곡동 1081-7 지하1층,GS25 신월초교점,185631.3292,448684.9166,화곡동
영업/정상,3.3,157-807,서울특별시 강서구 가양동 1480 영보빌딩 1층 일부호,세븐일레븐 가양역점,186897.1345,451243.1021,가양동
영업/정상,3.3,157-210,서울특별시 강서구 마곡동 757 두산더랜드파크,씨유 마곡더랜드점,184655.2643,451864.2982,마곡동
영업/정상,3.3,157-210,서울특별시 강서구 마곡동 799-1 로뎀타워,세븐일레븐 마곡로뎀점,184736.337,450772.9111,마곡동
영업/정상,3.3,157-840,"서울특별시 강서구 등촌동 649-14 우림보보카운티뷰오피스텔 103-2,104-1호",씨유 등촌보보카운티점,187851.4586,450002.6578,등촌동
영업/정상,3.3,157-916,서울특별시 강서구 화곡동 993-1 101호,이마트24 뉴강서우장산점,186454.6887,450106.5828,화곡동
영업/정상,3.3,157-840,서울특별시 강서구 등촌동 641-11 청림오피스텔 104호,세븐일레븐 등촌청림점,187197.4688,450519.9994,등촌동
영업/정상,3.3,157-210,서울특별시 강서구 마곡동 748 마곡 13단지 힐스테이트 마스터,씨유 마곡13단지점,183882.4256,450626.281,마곡동
영업/정상,3.3,157-846,서울특별시 강서구 방화동 246-48 1층,GS방화행복점,183631.4318,451879.0709,방화동
영업/정상,3.3,157-856,서울특별시 강서구 방화동 819 방화8단지개화아파트 103호,씨유 개화점,183372.0251,453178.3057,방화동
영업/정상,3.3,157-836,서울특별시 강서구 등촌동 365-83 1층,세븐일레븐 등촌두보점,187357.3103,449859.6562,등촌동
영업/정상,3.3,157-040,서울특별시 강서구 염창동 312 센터스퀘어,지에스(GS)25 등촌타운,188123.9705,449841.9576,염창동
영업/정상,3.3,157-845,서울특별시 강서구 방화동 141 1층,씨유 방화1호점,183943.0625,452853.7674,방화동
