"링크 길이","시군구 코드","시군구명","읍면동 코드","읍면동명","안심벨","cctv","안심귀갓길 안내표지판","안심귀갓길 노면표기","보안등","안심귀갓길 서비스 안내판","112 위치신고 안내판","기타 시설물","안심귀갓길 id","안심귀갓길 명","조성년월","세부위치 설명","비고","데이터기준일자"
"377.78","1117000000","서울특별시 용산구","1117013600","보광동","2","4","","8","2","","7","","1117013600_10","용산안심10","2014","우사단로2길","","20220914"
"264.99","1117000000","서울특별시 용산구","1117013600","보광동","2","4","","5","12","","4","","1117013600_11","용산안심11","2014","우사단로6길","","20220915"
"267.63","1117000000","서울특별시 용산구","1117013600","보광동","","1","","6","12","","5","","1117013600_13","용산안심13","2014","보광로14길","","20220915"
"433.69","1120000000","서울특별시 성동구","1120010200","하왕십리동","6","22","2","","27","","6","1","1120010200_08","성동안심08","2014","무학봉15길","","20220914"
"460.01","1120000000","서울특별시 성동구","1120010200","하왕십리동","4","25","","","23","","4","","1120010200_09","성동안심09","2014","왕십시로31길","","20220914"
"189.57","1120000000","서울특별시 성동구","1120010600","사근동","1","5","6","","8","","","2","1120010600_16","성동안심16","2021","사근동10길","","20220914"
"479.57","1120000000","서울특별시 성동구","1120011400","성수동1가","4","9","","5","2","","3","","1120011400_03","성동안심03","2014","서울숲2길","","20220812"
"288.17","1120000000","서울특별시 성동구","1120012200","용답동","1","3","","5","11","","9","","1120012200_14","성동안심14","2015","용답길","","20220914"
"312.88","1120000000","서울특별시 성동구","1120012200","용답동","3","17","","4","13","","4","","1120012200_15","성동안심15","2016","용답길","","20220914"
"561.15","1121500000","서울특별시 광진구","1121510100","중곡동","2","1","","","27","","3","","1121510100_04","광진안심04","2014","천호대로201길","","20220729"
"212.56","1121500000","서울특별시 광진구","1121510100","중곡동","1","3","","4","6","","4","","1121510100_05","광진안심05","2014","능동로40길","","20220729"
"291.22","1121500000","서울특별시 광진구","1121510100","중곡동","2","9","","4","9","","","","1121510100_06","광진안심06","2014","천호대로111길","","20220729"
"227.11","1121500000","서울특별시 광진구","1121510100","중곡동","2","6","","","7","","2","","1121510100_07","광진안심07","2014","능동로51길","","20220729"
"386.22","1121500000","서울특별시 광진구","1121510100","중곡동","2","1","","","19","","1","","1121510100_08","광진안심08","2014","천호대로127길","","20220729"
"381.81","1121500000","서울특별시 광진구","1121510300","구의동","3","5","6","","17","","4","","1121510300_02","광진안심02","2019","구의로4길","","20220727"
"414.77","1121500000","서울특별시 광진구","1121510300","구의동","3","9","","","11","","3","","1121510300_03","광진안심03","2014","천호대로130길","","20220729"
"297.03","1121500000","서울특별시 광진구","1121510500","자양동","5","8","","","16","","4","","1121510500_09","광진안심09","2014","자양로5길","","20220727"
"389.74","1121500000","서울특별시 광진구","1121510500","자양동","1","5","","5","17","","2","","1121510500_10","광진안심10","2014","아차산로40길","","20220727"
"374.98","1121500000","서울특별시 광진구","1121510500","자양동","3","3","","","14","","3","","1121510500_11","광진안심11","2014","아차산로41길","","20220727"
"263.46","1121500000","서울특별시 광진구","1121510500","자양동","2","11","","","11","","3","","1121510500_12","광진안심12","2014","능동로7길","","20220727"
"289.44","1121500000","서울특별시 광진구","1121510700","화양동","4","16","","","13","","1","","1121510700_01","광진안심01","2014","동일로24길","","20220727"
"477.26","1123000000","서울특별시 동대문구","1123010200","용두동","4","14","","3","22","","3","1","1123010200_04","동대문안심04","2014","고산자로30길","","20221018"
"363.27","1123000000","서울특별시 동대문구","1123010300","제기동","1","4","","3","18","","2","2","1123010300_24","동대문안심24","2014","왕산로 19길","","20221020"
"488.99","1123000000","서울특별시 동대문구","1123010400","전농동","5","18","22","2","22","","3","","1123010400_10","동대문안심10","2014","전농로37길","","20221018"
"543.07","1123000000","서울특별시 동대문구","1123010400","전농동","7","21","27","7","26","","7","","1123010400_12","동대문안심12","2014","전농로20길","","20221020"
"483.88","1123000000","서울특별시 동대문구","1123010500","답십리동","2","6","","4","17","","1","","1123010500_01","동대문안심01","2014","서울시립대로4길","","20221017"
"689.1","1123000000","서울특별시 동대문구","1123010600","장안동","2","8","","3","23","","2","","1123010600_14","동대문안심14","2014","답십리로66길","","20221018"
"683.36","1123000000","서울특별시 동대문구","1123010600","장안동","2","5","","3","17","","3","","1123010600_16","동대문안심16","2014","답십리로65길","","20221018"
"353.71","1123000000","서울특별시 동대문구","1123010700","청량리동","3","13","13","3","23","","3","","1123010700_23","동대문안심23","2014","왕산로 45길","","20221018"
"311.53","1123000000","서울특별시 동대문구","1123010800","회기동","3","8","","4","14","","5","","1123010800_06","동대문안심06","2014","회기로12길","","20221020"
"550.66","1123000000","서울특별시 동대문구","1123010900","휘경동","5","19","","2","29","","3","","1123010900_20","동대문안심20","2014","망우로 16길","","20221203"
"628.27","1123000000","서울특별시 동대문구","1123011000","이문동","4","11","","2","25","","3","","1123011000_18","동대문안심18","2014","천장산로7길","","20221020"
"223.79","1126000000","서울특별시 중랑구","1126010100","면목동","3","11","1","2","12","","8","","1126010100_03","중랑안심03","2018","겸재로35길","","20220809"
"261.57","1126000000","서울특별시 중랑구","1126010100","면목동","2","11","2","4","1","1","7","","1126010100_04","중랑안심04","2018","겸재로44길","","20220809"
"288.83","1126000000","서울특별시 중랑구","1126010100","면목동","5","21","","3","2","","","","1126010100_05","중랑안심05","2018","동일로101길","","20220809"
